group_index	first_timestamp	last_timestamp	crosses_calendar_hour
0	2006-12-16 17:24:00	2006-12-16 18:23:00	true
1	2006-12-16 18:24:00	2006-12-16 19:23:00	true
2	2006-12-16 19:24:00	2006-12-16 20:23:00	true
3	2006-12-16 20:24:00	2006-12-16 21:23:00	true
4	2006-12-16 21:24:00	2006-12-16 22:23:00	true
5	2006-12-16 22:24:00	2006-12-16 23:23:00	true
6	2006-12-16 23:24:00	2006-12-17 00:23:00	true
7	2006-12-17 00:24:00	2006-12-17 01:23:00	true
8	2006-12-17 01:24:00	2006-12-17 02:23:00	true
9	2006-12-17 02:24:00	2006-12-17 03:23:00	true
10	2006-12-17 03:24:00	2006-12-17 04:23:00	true
11	2006-12-17 04:24:00	2006-12-17 05:23:00	true
12	2006-12-17 05:24:00	2006-12-17 06:23:00	true
13	2006-12-17 06:24:00	2006-12-17 07:23:00	true
14	2006-12-17 07:24:00	2006-12-17 08:23:00	true
15	2006-12-17 08:24:00	2006-12-17 09:23:00	true
16	2006-12-17 09:24:00	2006-12-17 10:23:00	true
17	2006-12-17 10:24:00	2006-12-17 11:23:00	true
18	2006-12-17 11:24:00	2006-12-17 12:23:00	true
19	2006-12-17 12:24:00	2006-12-17 13:23:00	true
20	2006-12-17 13:24:00	2006-12-17 14:23:00	true
21	2006-12-17 14:24:00	2006-12-17 15:23:00	true
22	2006-12-17 15:24:00	2006-12-17 16:23:00	true
23	2006-12-17 16:24:00	2006-12-17 17:23:00	true
24	2006-12-17 17:24:00	2006-12-17 18:23:00	true
25	2006-12-17 18:24:00	2006-12-17 19:23:00	true
26	2006-12-17 19:24:00	2006-12-17 20:23:00	true
27	2006-12-17 20:24:00	2006-12-17 21:23:00	true
28	2006-12-17 21:24:00	2006-12-17 22:23:00	true
29	2006-12-17 22:24:00	2006-12-17 23:23:00	true
30	2006-12-17 23:24:00	2006-12-18 00:23:00	true
31	2006-12-18 00:24:00	2006-12-18 01:23:00	true
32	2006-12-18 01:24:00	2006-12-18 02:23:00	true
33	2006-12-18 02:24:00	2006-12-18 03:23:00	true
34	2006-12-18 03:24:00	2006-12-18 04:23:00	true
35	2006-12-18 04:24:00	2006-12-18 05:23:00	true
36	2006-12-18 05:24:00	2006-12-18 06:23:00	true
37	2006-12-18 06:24:00	2006-12-18 07:23:00	true
38	2006-12-18 07:24:00	2006-12-18 08:23:00	true
39	2006-12-18 08:24:00	2006-12-18 09:23:00	true
40	2006-12-18 09:24:00	2006-12-18 10:23:00	true
41	2006-12-18 10:24:00	2006-12-18 11:23:00	true
42	2006-12-18 11:24:00	2006-12-18 12:23:00	true
43	2006-12-18 12:24:00	2006-12-18 13:23:00	true
44	2006-12-18 13:24:00	2006-12-18 14:23:00	true
45	2006-12-18 14:24:00	2006-12-18 15:23:00	true
46	2006-12-18 15:24:00	2006-12-18 16:23:00	true
47	2006-12-18 16:24:00	2006-12-18 17:23:00	true
48	2006-12-18 17:24:00	2006-12-18 18:23:00	true
49	2006-12-18 18:24:00	2006-12-18 19:23:00	true
50	2006-12-18 19:24:00	2006-12-18 20:23:00	true
51	2006-12-18 20:24:00	2006-12-18 21:23:00	true
52	2006-12-18 21:24:00	2006-12-18 22:23:00	true
53	2006-12-18 22:24:00	2006-12-18 23:23:00	true
54	2006-12-18 23:24:00	2006-12-19 00:23:00	true
55	2006-12-19 00:24:00	2006-12-19 01:23:00	true
56	2006-12-19 01:24:00	2006-12-19 02:23:00	true
57	2006-12-19 02:24:00	2006-12-19 03:23:00	true
58	2006-12-19 03:24:00	2006-12-19 04:23:00	true
59	2006-12-19 04:24:00	2006-12-19 05:23:00	true
60	2006-12-19 05:24:00	2006-12-19 06:23:00	true
61	2006-12-19 06:24:00	2006-12-19 07:23:00	true
62	2006-12-19 07:24:00	2006-12-19 08:23:00	true
63	2006-12-19 08:24:00	2006-12-19 09:23:00	true
64	2006-12-19 09:24:00	2006-12-19 10:23:00	true
65	2006-12-19 10:24:00	2006-12-19 11:23:00	true
66	2006-12-19 11:24:00	2006-12-19 12:23:00	true
67	2006-12-19 12:24:00	2006-12-19 13:23:00	true
68	2006-12-19 13:24:00	2006-12-19 14:23:00	true
69	2006-12-19 14:24:00	2006-12-19 15:23:00	true
70	2006-12-19 15:24:00	2006-12-19 16:23:00	true
71	2006-12-19 16:24:00	2006-12-19 17:23:00	true
72	2006-12-19 17:24:00	2006-12-19 18:23:00	true
73	2006-12-19 18:24:00	2006-12-19 19:23:00	true
74	2006-12-19 19:24:00	2006-12-19 20:23:00	true
75	2006-12-19 20:24:00	2006-12-19 21:23:00	true
76	2006-12-19 21:24:00	2006-12-19 22:23:00	true
77	2006-12-19 22:24:00	2006-12-19 23:23:00	true
78	2006-12-19 23:24:00	2006-12-20 00:23:00	true
79	2006-12-20 00:24:00	2006-12-20 01:23:00	true
80	2006-12-20 01:24:00	2006-12-20 02:23:00	true
81	2006-12-20 02:24:00	2006-12-20 03:23:00	true
82	2006-12-20 03:24:00	2006-12-20 04:23:00	true
83	2006-12-20 04:24:00	2006-12-20 05:23:00	true
84	2006-12-20 05:24:00	2006-12-20 06:23:00	true
85	2006-12-20 06:24:00	2006-12-20 07:23:00	true
86	2006-12-20 07:24:00	2006-12-20 08:23:00	true
87	2006-12-20 08:24:00	2006-12-20 09:23:00	true
88	2006-12-20 09:24:00	2006-12-20 10:23:00	true
89	2006-12-20 10:24:00	2006-12-20 11:23:00	true
90	2006-12-20 11:24:00	2006-12-20 12:23:00	true
91	2006-12-20 12:24:00	2006-12-20 13:23:00	true
92	2006-12-20 13:24:00	2006-12-20 14:23:00	true
93	2006-12-20 14:24:00	2006-12-20 15:23:00	true
94	2006-12-20 15:24:00	2006-12-20 16:23:00	true
95	2006-12-20 16:24:00	2006-12-20 17:23:00	true
96	2006-12-20 17:24:00	2006-12-20 18:23:00	true
97	2006-12-20 18:24:00	2006-12-20 19:23:00	true
98	2006-12-20 19:24:00	2006-12-20 20:23:00	true
99	2006-12-20 20:24:00	2006-12-20 21:23:00	true
100	2006-12-20 21:24:00	2006-12-20 22:23:00	true
101	2006-12-20 22:24:00	2006-12-20 23:23:00	true
102	2006-12-20 23:24:00	2006-12-21 00:23:00	true
103	2006-12-21 00:24:00	2006-12-21 01:23:00	true
104	2006-12-21 01:24:00	2006-12-21 02:23:00	true
105	2006-12-21 02:24:00	2006-12-21 03:23:00	true
106	2006-12-21 03:24:00	2006-12-21 04:23:00	true
107	2006-12-21 04:24:00	2006-12-21 05:23:00	true
108	2006-12-21 05:24:00	2006-12-21 06:23:00	true
109	2006-12-21 06:24:00	2006-12-21 07:23:00	true
110	2006-12-21 07:24:00	2006-12-21 08:23:00	true
111	2006-12-21 08:24:00	2006-12-21 09:23:00	true
112	2006-12-21 09:24:00	2006-12-21 10:23:00	true
113	2006-12-21 10:24:00	2006-12-21 11:23:00	true
114	2006-12-21 11:24:00	2006-12-21 12:23:00	true
115	2006-12-21 12:24:00	2006-12-21 13:23:00	true
116	2006-12-21 13:24:00	2006-12-21 14:23:00	true
117	2006-12-21 14:24:00	2006-12-21 15:23:00	true
118	2006-12-21 15:24:00	2006-12-21 16:23:00	true
119	2006-12-21 16:24:00	2006-12-21 17:23:00	true
120	2006-12-21 17:24:00	2006-12-21 18:23:00	true
121	2006-12-21 18:24:00	2006-12-21 19:23:00	true
122	2006-12-21 19:24:00	2006-12-21 20:23:00	true
123	2006-12-21 20:24:00	2006-12-21 21:23:00	true
124	2006-12-21 21:24:00	2006-12-21 22:23:00	true
125	2006-12-21 22:24:00	2006-12-21 23:23:00	true
126	2006-12-21 23:24:00	2006-12-22 00:23:00	true
127	2006-12-22 00:24:00	2006-12-22 01:23:00	true
128	2006-12-22 01:24:00	2006-12-22 02:23:00	true
129	2006-12-22 02:24:00	2006-12-22 03:23:00	true
130	2006-12-22 03:24:00	2006-12-22 04:23:00	true
131	2006-12-22 04:24:00	2006-12-22 05:23:00	true
132	2006-12-22 05:24:00	2006-12-22 06:23:00	true
133	2006-12-22 06:24:00	2006-12-22 07:23:00	true
134	2006-12-22 07:24:00	2006-12-22 08:23:00	true
135	2006-12-22 08:24:00	2006-12-22 09:23:00	true
136	2006-12-22 09:24:00	2006-12-22 10:23:00	true
137	2006-12-22 10:24:00	2006-12-22 11:23:00	true
138	2006-12-22 11:24:00	2006-12-22 12:23:00	true
139	2006-12-22 12:24:00	2006-12-22 13:23:00	true
140	2006-12-22 13:24:00	2006-12-22 14:23:00	true
141	2006-12-22 14:24:00	2006-12-22 15:23:00	true
142	2006-12-22 15:24:00	2006-12-22 16:23:00	true
143	2006-12-22 16:24:00	2006-12-22 17:23:00	true
144	2006-12-22 17:24:00	2006-12-22 18:23:00	true
145	2006-12-22 18:24:00	2006-12-22 19:23:00	true
146	2006-12-22 19:24:00	2006-12-22 20:23:00	true
147	2006-12-22 20:24:00	2006-12-22 21:23:00	true
148	2006-12-22 21:24:00	2006-12-22 22:23:00	true
149	2006-12-22 22:24:00	2006-12-22 23:23:00	true
150	2006-12-22 23:24:00	2006-12-23 00:23:00	true
151	2006-12-23 00:24:00	2006-12-23 01:23:00	true
152	2006-12-23 01:24:00	2006-12-23 02:23:00	true
153	2006-12-23 02:24:00	2006-12-23 03:23:00	true
154	2006-12-23 03:24:00	2006-12-23 04:23:00	true
155	2006-12-23 04:24:00	2006-12-23 05:23:00	true
156	2006-12-23 05:24:00	2006-12-23 06:23:00	true
157	2006-12-23 06:24:00	2006-12-23 07:23:00	true
158	2006-12-23 07:24:00	2006-12-23 08:23:00	true
159	2006-12-23 08:24:00	2006-12-23 09:23:00	true
160	2006-12-23 09:24:00	2006-12-23 10:23:00	true
161	2006-12-23 10:24:00	2006-12-23 11:23:00	true
162	2006-12-23 11:24:00	2006-12-23 12:23:00	true
163	2006-12-23 12:24:00	2006-12-23 13:23:00	true
164	2006-12-23 13:24:00	2006-12-23 14:23:00	true
165	2006-12-23 14:24:00	2006-12-23 15:23:00	true
166	2006-12-23 15:24:00	2006-12-23 16:23:00	true
167	2006-12-23 16:24:00	2006-12-23 17:23:00	true
